content,clean_content,sentiment
"maintance mulu, ga kelar kelar",maintance mulu tidak kelar kelar,negative
uang yang dikirim belum masuk,uang dikirim belum masuk,positive
"Sudah bagus, tingkatkan lagi supaya jadi lebih baik lagi",bagus tingkatkan supaya jadi lebih baik,positive
"login perlu otp padahal kartu SIM hilang, pas mau ganti nomor juga kaga bisa, apk penipuan berkedok dompet digital",login perlu otp padahal kartu sim hilang pas mau ganti nomor kaga apk penipuan berkedok dompet digital,negative
ovo makin mantap,ovo makin mantap,positive
"ovo ga beres, buat transaksi g bisa bisa",ovo tidak beres buat transaksi g bisa,negative
tidak bisa login,tidak login,negative
"Aplikasi tolol tiba2 saldo ilang , ada transaksi yg gajelas",aplikasi tolol tiba saldo ilang transaksi gajelas,negative
"makin gede aje potongan top up nya cokkk, lintah darat",makin gede aje potongan top up nya cokkk lintah darat,negative
"kecewa,,,gagal trus mau TF... uninstall aja nih ovo ga guna",kecewa gagal terus mau tf uninstall aja nih ovo tidak,negative
aplikasi babiiiiiiiii*** topup seharian kaga masuk KonToLLLLL,aplikasi babiiiiiiiii topup seharian kaga masuk kontolllll,positive
kita boikot saja rame2 masak login berulang mau ganti nomer yang baru selalu gagal.sedang nomer lama tidak bisa dibuka.itu pun masih ada saldonya.,boikot rame masak login berulang mau ganti nomer baru selalu gagal sedang nomer lama tidak dibuka pun ada saldonya,negative
cukup puas,cukup puas,positive
"aneh jir, mau login aja ribet banget, katanya aplikasi/perangkat nya dimodifikasi, padahal ga gua apa apain dah, aneh bet disuruh dibenerin dulu, guanya aja gatau yang dimodifikasi apa anjay, aneh, ribet banget, mode developer juga ga nyala, benerin lagi lah, hp nya aja beli baru bukan second, apa yg dimodifikasi, dimodifikasi biar ada ban nya kah, atau gmna anjay aneh.",aneh jir mau login aja ribet banget katanya aplikasi perangkat nya dimodifikasi padahal tidak gua apa apain dah aneh bet disuruh dibenerin dulu guanya aja gatau dimodifikasi apa anjay aneh ribet banget mode developer tidak nyala benerin lah hp nya aja beli baru bukan second apa dimodifikasi dimodifikasi biar ban nya atau gmna anjay aneh,negative
masih mending make dana,mending make dana,negative
ovo paylaternya menyesatkan,ovo paylaternya menyesatkan,negative
daftar tdk bisa tolak terus,daftar tidak tolak terus,negative
JELEKK BGT,jelekk banget,negative
mantap,mantap,positive
apalah ini tpup cuma 20 dipotong pula 2ribu kecewa banget,apalah tpup cuma dipotong ribu kecewa banget,positive
transaksi jadi sangat mudah,transaksi jadi sangat mudah,positive
"securiti ovo jelek banget gampang di hack hati hati yang sering taroh duit di ovo, saya sudah laporan email tapi tidak ada respon sama sekali",securiti ovo jelek banget gampang hack hati hati sering taroh duit ovo sudah laporan email tidak respon sama sekali,negative
mau login ke ovo tapi no hp dan Gmail sudah lupa karena hp hilang mau login ke ovo jadi susah karena kode otp,mau login ovo no hp gmail lupa hp hilang mau login ovo jadi susah kode otp,negative
sammyeocXZ,sammyeocxz,positive
gila ya ovo topup dari banknya gratis masih di potong 2rb dengan dalil topup dari bank,gila ovo topup banknya gratis di potong rb dalil topup bank,negative
"ubah nomor hp aja susah ,eror Mulu punya apk ga di perhatikan, cek itu mau ubah nomor susah dari semalam sampe sekarang ,saldo nyangkut",ubah nomor hp aja susah eror mulu punya apk tidak perhatikan cek mau ubah nomor susah semalam sampe sekarang saldo nyangkut,negative
gimana ini kenapa saya mau login terkena blokir,gimana kenapa mau login terkena blokir,negative
potongan mulu isinya pantes kaga ada yang pake,potongan mulu isinya pantes kaga yang pake,negative
"lah masih rate 3. kirain udah di apus dr play store. padahal dr 2018 udah merosot tajam mulai dr admin tf, qris bermasalah, tf terpending, dan tarik tunai yang ga muncul tokennya.",lah rate kirain di apus dr play store padahal dr merosot tajam mulai dr admin tf qris bermasalah tf terpending tarik tunai tidak muncul tokennya,negative
apk gajelas mau ganti nomer aja ada gangguan terus udah sebulan lebih gausah pake apk ini apk gaje,apk gajelas mau ganti nomer aja gangguan terus sebulan lebih gausah pake apk apk gaje,negative
pantes rating under *4.emg layanan paling payah dr pesaingnya,pantes rating under emg layanan paling payah dr pesaingnya,negative
di saat urgent melakukan pembayaran sedang tidak baik baik saja selalu gagal. aplikasi penipu top up kepotong 3000,saat urgent melakukan pembayaran sedang tidak baik baik selalu gagal aplikasi penipu top up kepotong,negative
kuli bangunan,kuli bangunan,positive
"cara top up nya gimana saya pake nomor hp ko ga masuk,padahal suda top up",cara top up nya gimana pake nomor hp ko tidak masuk padahal suda top up,negative
good aplication but not good for transaction,good aplication but not good for transaction,positive
baik baik saja,baik baik,positive
transfer gagal uangnya ga balik udh 2 hari ini,transfer gagal uangnya tidak balik hari,negative
"ovo rada geblek, dishopepay gua tf berhasil diovo blm muncul tuh saldo, saldo kmren yg hilang aja blm kembali, sekarang hilang lagi, apk sampah",ovo rada geblek dishopepay gua tf berhasil diovo blm muncul tuh saldo saldo kmren hilang aja blm sekarang hilang apk sampah,negative
maling transaksi dalam proses tapi saldo terpotong GK blek Sampek saat ini,maling transaksi proses saldo terpotong gk blek sampek ini,negative
"OVO miskin , topup kena biaya , transfer kena admin. ga ada gratisan transfer , rugi kalo setiap topup sama TF kena biaya admin. uninstall OVO miskin !!!",ovo miskin topup kena biaya transfer kena admin tidak gratisan transfer rugi kalau topup sama tf kena biaya admin uninstall ovo miskin,negative
teransfer masih d proses padahal saldo ya udah terpotong dan blum masuk jg ke norek tujuan.. tolong segera di bantu untuk proses teransferan ya DA harap segera kmblikan saldo nya karna saya lagi butuh banget,teransfer d proses padahal saldo sudah terpotong blum masuk ke norek tujuan segera bantu proses teransferan da harap segera kmblikan saldo nya karna lagi butuh banget,negative
"susah masuk terus, padahal jaringan bagus",susah masuk terus padahal jaringan bagus,negative
buruk,buruk,negative
ewalet paling buruk potongan terus mending dana gratis,ewalet paling buruk potongan terus mending dana gratis,negative
sering ganguwan,sering ganguwan,positive
sangat kecewa ga bisa di buka padahal pasword ny bener payah,sangat kecewa tidak di buka padahal pasword ny bener payah,positive
mau transaksi gagal memproses terus,mau transaksi gagal memproses terus,negative
suka,suka,positive
aplikasi tidak jelas. tidak bisa di upgrade,aplikasi tidak jelas tidak di upgrade,negative
sulit semua mau ngajuin apapun gak kaya apk biru sebelah mudah mw ada kebutuhan segala macem gak ribet..,sulit semua mau ngajuin apapun tidak kaya apk biru sebelah mudah mw kebutuhan segala macem tidak ribet,negative
tidak bisa login pdahal udah di coba ber kali²,tidak login pdahal di coba ber kali,negative
"sengaja kasi bintang 5 biar kebaca, apk nya bagusn't, isi saldo kena potong, nge transfer pun kena potong,potong lah semua, jangan kalian jadikan ini jadi ewallet utama",sengaja kasi bintang biar kebaca apk nya bagusn t isi saldo kena potong nge transfer kena potong potong lah semua jangan kalian jadikan jadi ewallet utama,positive
